id_survey,date_of_survey,ticket_system,customer_service,value_for_money,overall_text,cleaned_text,sentiment,likelihood_to_recommend,nps_category,ease_of_use,overall_rating,csat_category
T_00229,2024-10-06,Zendesk,4.0,3.0,Customer tickets managements,customer tickets managements,Netral,6.0,Detractor,2.0,3.0,Neutral
T_04527,2024-12-26,Zoho Desk,5.0,5.0,"After 6 months of using the Zoho desk, we shifted to different software, but my experience using Zoho was great! Indeed, I would still recommend using Zoho after all.",after 6 months of using the zoho desk we shifted tapi different software but my experience using zoho was great indeed i would still recommend using zoho after all,Positif,8.0,Passive,5.0,5.0,Satisfied
T_00644,2024-10-17,Zendesk,3.0,5.0,"Pros:Zendesk has always been one of the go-to solutions for helpdesk software, but they've really streamlined their system over the last few years. It's simple and easy to use with straightforward options for even those who are new to using a helpdesk system.Zendesk is basically an email support system, where all emails sent will be routed to your Zendesk dashboard and show up as support tickets. Tickets are tagged with its own ID and even cross-referenced to see if a particular sender has submitted any tickets prior, so it's easy to check through the support history. There are also pre-defined responses, allowing for quick and easy replies for typical queries.Of course, these are actually what you might believe every helpdesk system should provide, but you'll be surprised at how much you have to pay and that some don't even have these options at all. Zendesk is actually very affordable and is easily scalable.",pros zendesk has always been one of the go tapi solutions for helpdesk software but they ve really streamlined their system over the last few years itu sih simple and easy tapi use with straightforward options for even those who are new tapi using a helpdesk system zendesk is basically an email support system where all emails sent will be routed tapi your zendesk dashboard and show up as support tickets tickets are tagged with its own id and even cross referenced tapi sih if a particular sender has submitted any tickets prior sok itu sih easy tapi check through the support history there are also pre defined responses allowing for quick and easy replies for typical queries of course these are actually what you might believe every helpdesk system should provide but you ll be surprised at how much you have tapi pay and that some don t even have these options at all zendesk is actually very affordable and is easily scalable,Positif,6.0,Detractor,5.0,5.0,Satisfied
T_04682,2024-12-28,Zoho Desk,4.0,5.0,It has been very useful so far to integrate multiple brands but still allowing us to use the same customer service team.,itu has been very useful sok far tapi integrate multiple brands but still allowing us tapi use the same customer service team,Netral,8.0,Passive,5.0,5.0,Satisfied
T_01238,2024-11-02,Freshdesk,4.0,5.0,Pros:It's easy to use and very intuitive.We have had very few issues with the functionality and requires minimal training for both customers and agents.,pros itu sih easy tapi use and very intuitive we have had very few issues with the functionality and requires minimal training for both customers and agents,Positif,8.0,Passive,4.0,4.0,Satisfied
T_00355,2024-10-09,Zendesk,4.0,4.0,Pros:We have connected Zendesk with a lot of our other applications.,pros we have connected zendesk with a lot of our other applications,Netral,7.0,Passive,4.0,5.0,Satisfied
T_02440,2024-11-26,Zendesk,2.0,5.0,"Its best, but need extra improvement from UI Side",its best but need extra improvement from ui side,Positif,6.0,Detractor,5.0,4.0,Satisfied
T_03213,2024-12-08,Zendesk,3.0,3.0,"Served us incredibly well for years, the macros and auto-responders cut down a lot of work for our CS team. It allowed us to add a cost-effective,personalised voice mail, call recording and a comprehensive help desk to support our customers.",served us incredibly well for years the macros and auto responders cut down a lot of work for our cs team itu allowed us tapi ada a cost effective personalised voice mail call recording and a comprehensive help desk tapi support our customers,Netral,5.0,Detractor,5.0,5.0,Satisfied
T_02569,2024-11-29,Freshdesk,3.0,5.0,I have had a fantastic experience with both the software and customer service. Bang for buck is right on. Great UI/UX all around and make sure we are able to receive feedback through various channels and integrate with Jira.,i have had a fantastic experience with both the software and customer service bang for buck is right on great ui ux all around and pakai sure we are able tapi receive feedback through various channels and integrate with jira,Positif,10.0,Promoter,5.0,5.0,Satisfied
T_03530,2024-12-12,Freshdesk,5.0,5.0,"Freshdesk has enabled us to manage customer tickets in a distinctive way, and this has helped us improve the speed of response and also to not leave any outstanding tickets within the records, in addition to that it helped a lot by improving quality control tools as well as measuring customer satisfaction.",freshdesk has enabled us tapi manage customer tickets ini a distinctive way and this has helped us improve the speed of response and also tapi not leave any outstanding tickets within the records ini addition tapi that itu helped a lot by improving quality control tools as well as measuring customer satisfaction,Netral,8.0,Passive,5.0,5.0,Satisfied
